geoid,state,name,county
05027000015,AR,McNeil TWP Voting District,Columbia County
05027000008,AR,Magnolia South Voting District,Columbia County
05027000020,AR,Taylor TWP Voting District,Columbia County
05027000023,AR,Emerson TWP Voting District,Columbia County
05027000016,AR,McNeil City Voting District,Columbia County
05027000002,AR,Waldo Ward 1,Columbia County
05027000011,AR,Magnolia Ward 1,Columbia County
05027000001,AR,Waldo TWP Voting District,Columbia County
05027000025,AR,Emerson City Voting District,Columbia County
05027000018,AR,Magnolia East Voting District,Columbia County
05027000010,AR,Magnolia North Voting District,Columbia County
05027000004,AR,Waldo Ward 3,Columbia County
05027000003,AR,Waldo Ward 2,Columbia County
05027000014,AR,Magnolia Ward 4,Columbia County
05027000006,AR,Magnolia Northwest Voting District,Columbia County
05027000021,AR,Taylor City Voting District,Columbia County
05027000007,AR,Magnolia Southwest Voting District,Columbia County
05027000013,AR,Magnolia Ward 3,Columbia County
05027000012,AR,Magnolia Ward 2,Columbia County
05087000015,AR,Purdy Voting District,Madison County
05087000013,AR,Whorton Voting District,Madison County
05087000002,AR,Mill Creek Voting District,Madison County
05087000011,AR,Richland Voting District,Madison County
05087000021,AR,War Eagle 1 Voting District,Madison County
05087000023,AR,Huntsville Ward 2,Madison County
05087000001,AR,Valley Voting District,Madison County
05087000022,AR,Huntsville Ward 1,Madison County
05087000025,AR,Huntsville Ward 4,Madison County
05087000007,AR,Lincoln Voting District,Madison County
05087000012,AR,Bowen Voting District,Madison County
05087000020,AR,Marble Voting District,Madison County
05087000026,AR,Alabam Voting District,Madison County
05087000005,AR,Boston Voting District,Madison County
05087000004,AR,Kentucky Voting District,Madison County
05087000016,AR,War Eagle 2 Voting District,Madison County
05087000008,AR,Japton Voting District,Madison County
05087000003,AR,Hilburn Voting District,Madison County
05087000009,AR,White River Voting District,Madison County
05087000006,AR,Venus Voting District,Madison County
05087000014,AR,Kings River Voting District,Madison County
05087000010,AR,Lamar Voting District,Madison County
05087000018,AR,Prairie Voting District,Madison County
05087000017,AR,Bohannon Voting District,Madison County
05087000019,AR,California Voting District,Madison County
05087000024,AR,Huntsville Ward 3,Madison County
05109000004,AR,Kirby Voting District,Pike County
05109000010,AR,Murfreesboro South Voting District,Pike County
05109000002,AR,Glenwood North Voting District,Pike County
05109000013,AR,Pisgah Voting District,Pike County
05109000012,AR,Antoine Voting District,Pike County
05109000006,AR,New Hope Voting District,Pike County
05109000005,AR,Daisy Voting District,Pike County
05109000011,AR,Delight Voting District,Pike County
05109000001,AR,Langley/Lodi Voting District,Pike County
05109000003,AR,Glenwood South Voting District,Pike County
05109000008,AR,Murfreesboro West 2 Voting District,Pike County
05109000009,AR,Murfreesboro North Voting District,Pike County
05109000007,AR,Murfreesboro West 1 Voting District,Pike County
05079000026,AR,Star City Ward 3,Lincoln County
05079000006,AR,Choctaw Voting District,Lincoln County
05079000010,AR,Lone Pine Mt Home Voting District,Lincoln County
05079000018,AR,Wells Bayou Norris Shop Voting District,Lincoln County
05079000002,AR,Tarry Voting District,Lincoln County
05079000012,AR,Owen Glendale Voting District,Lincoln County
05079000013,AR,Owen Palmyra Voting District,Lincoln County
05079000020,AR,Gould Ward 2,Lincoln County
05079000001,AR,Auburn Voting District,Lincoln County
05079000004,AR,Cane Creek 1 Voting District,Lincoln County
05079000022,AR,Grady Ward 1,Lincoln County
05079000014,AR,Smith Voting District,Lincoln County
05079000019,AR,Gould Ward 1,Lincoln County
05079000005,AR,Cane Creek 2 Voting District,Lincoln County
05079000011,AR,Mill Creek Voting District,Lincoln County
05079000008,AR,Kimbrough Voting District,Lincoln County
05079000016,AR,Spring 2 Voting District,Lincoln County
05079000003,AR,Yorktown Voting District,Lincoln County
05079000024,AR,Star City Ward 1,Lincoln County
05079000009,AR,Lone Pine Garnett Voting District,Lincoln County
05079000015,AR,Spring 1 Voting District,Lincoln County
05013000007,AR,Voting District 7,Calhoun County
05013000003,AR,Voting District 3,Calhoun County
05013000012,AR,Voting District 7W,Calhoun County
05013000011,AR,Voting District 3C,Calhoun County
05013000005,AR,Voting District 5,Calhoun County
05013000006,AR,Voting District 6,Calhoun County
05013000002,AR,Voting District 2,Calhoun County
05013000004,AR,Voting District 4,Calhoun County
05013000009,AR,Voting District 9,Calhoun County
05013000001,AR,Voting District 1,Calhoun County
05013000008,AR,Voting District 8,Calhoun County
05079000007,AR,Gould Voting District,Lincoln County
05079000021,AR,Gould Ward 3,Lincoln County
05079000025,AR,Star City Ward 2,Lincoln County
05079000023,AR,Grady Ward 2,Lincoln County
05079000017,AR,Wells Bayou Garrett Bridge Voting District,Lincoln County
05101000017,AR,Dogpatch Voting District,Newton County
05101000006,AR,Low Gap Voting District,Newton County
05101000016,AR,Grove Voting District,Newton County
