GEOID,Total,Hispanic or Latino,White,Black or African American,American Indian and Alaska Native,Asian,Native Hawaiian and Other Pacific Islander,Some Other Race,Total VAP,Hispanic or Latino VAP,White VAP,Black or African American VAP,American Indian and Alaska Native VAP,Asian VAP,Native Hawaiian and Other Pacific Islander VAP,Some Other Race VAP
05027000015,969,9,522,433,6,7,1,2,786,4,440,338,6,5,1,0
05027000008,2017,99,921,982,6,9,1,8,1522,66,722,723,3,6,1,4
05027000020,1030,22,816,190,6,1,0,0,797,16,624,153,6,1,0,0
05027000023,1479,17,1154,308,7,6,0,0,1153,8,905,234,7,6,0,0
05027000016,516,9,233,275,3,1,0,0,369,4,186,178,2,0,0,0
05027000002,370,8,151,215,0,1,0,0,251,2,116,135,0,1,0,0
05027000011,2338,93,787,1449,16,25,0,0,1735,60,645,1015,13,18,0,0
05027000001,999,11,657,331,4,3,1,0,774,9,523,241,3,2,1,0
05027000025,368,4,243,120,0,1,0,0,244,2,164,77,0,1,0,0
05027000018,699,14,554,130,3,0,0,2,544,9,424,109,3,0,0,2
05027000010,1930,54,1538,327,12,4,1,2,1539,42,1251,239,10,2,1,0
05027000004,669,2,194,472,2,0,1,3,494,1,162,332,2,0,1,0
05027000003,333,6,83,246,1,1,0,1,243,5,68,169,1,1,0,1
05027000014,2775,85,1878,771,16,51,4,9,2129,55,1524,507,14,44,2,3
05027000006,1269,18,1100,147,4,6,0,0,968,14,834,117,4,3,0,0
05027000021,566,7,539,18,6,2,0,0,405,4,389,10,6,2,0,0
05027000007,776,14,586,175,2,1,0,0,597,10,458,128,1,0,0,0
05027000013,3286,38,2386,770,24,80,6,5,2936,31,2129,693,22,63,6,4
05027000012,2163,23,379,1778,16,3,0,5,1472,15,291,1170,8,3,0,0
05087000015,298,8,281,0,11,1,0,0,217,6,204,0,8,1,0,0
05087000013,412,2,405,0,5,0,0,0,329,2,323,0,4,0,0,0
05087000002,610,4,595,2,8,6,0,2,471,3,458,1,8,3,0,1
05087000011,567,10,554,0,12,0,0,0,423,5,416,0,11,0,0,0
05087000021,970,44,893,13,28,12,1,0,744,29,691,4,24,10,1,0
05087000023,566,68,489,2,16,1,0,0,432,43,382,1,9,1,0,0
05087000001,517,4,491,4,10,5,5,1,411,4,396,4,3,3,1,1
05087000022,492,121,366,3,5,7,0,0,320,67,249,1,5,6,0,0
05087000025,537,106,421,3,14,3,0,0,384,60,320,1,7,3,0,0
05087000007,229,6,217,0,8,1,0,3,185,4,175,0,7,1,0,3
05087000012,500,17,479,0,7,0,2,0,370,8,358,0,7,0,2,0
05087000020,318,2,315,1,6,0,0,0,240,2,237,1,6,0,0,0
05087000026,1267,32,1200,4,17,21,0,1,947,19,901,3,16,13,0,1
05087000005,169,2,167,0,0,0,0,1,142,1,141,0,0,0,0,1
05087000004,264,5,258,0,1,0,0,0,214,0,213,0,1,0,0,0
05087000016,688,23,647,2,23,1,0,0,530,12,506,2,16,0,0,0
05087000008,441,0,439,3,7,1,0,0,321,0,319,1,5,0,0,0
05087000003,310,5,304,0,4,0,0,0,263,2,260,0,3,0,0,0
05087000009,250,10,237,0,7,0,1,0,203,7,194,0,3,0,0,0
05087000006,244,3,240,0,2,0,0,0,196,1,194,0,1,0,0,0
05087000014,789,19,737,1,35,4,0,2,601,8,575,0,20,2,0,1
05087000010,946,33,898,2,27,5,0,1,725,18,699,1,17,4,0,1
05087000018,1633,84,1512,6,24,21,5,0,1264,58,1178,4,16,13,4,0
05087000017,631,12,608,2,8,1,0,1,471,5,462,1,2,0,0,1
05087000019,1303,16,1275,1,24,7,0,1,1002,4,990,1,17,5,0,1
05087000024,766,123,631,5,26,2,1,0,511,74,430,1,14,2,1,0
05109000004,1249,30,1200,11,16,15,0,2,906,16,877,4,12,9,0,1
05109000010,791,13,761,16,9,6,0,0,617,9,594,10,7,4,0,0
05109000002,2008,472,1509,9,33,14,3,1,1462,290,1155,2,24,8,1,1
05109000013,536,11,519,4,4,5,0,0,408,4,398,2,4,4,0,0
05109000012,351,2,181,172,1,1,0,0,277,2,151,124,1,1,0,0
05109000006,507,17,482,5,6,0,0,0,415,10,397,5,4,0,0,0
05109000005,629,14,591,9,15,6,1,2,474,12,449,4,11,4,1,1
05109000011,982,13,955,8,8,4,1,0,763,7,744,4,6,3,0,0
05109000001,514,22,484,1,11,1,0,0,407,11,390,1,9,1,0,0
05109000003,1418,91,1308,2,27,7,3,3,1003,46,944,0,18,5,3,0
05109000008,747,10,700,33,11,1,0,0,591,5,559,25,9,0,0,0
05109000009,540,10,525,5,2,0,0,0,418,5,410,3,2,0,0,0
05109000007,1019,22,898,91,12,9,1,0,763,13,661,80,12,3,0,0
05079000026,825,13,719,85,11,4,0,0,621,7,547,61,8,2,0,0
05079000006,230,13,133,84,1,0,0,0,178,7,109,62,1,0,0,0
05079000010,368,23,341,8,1,2,0,0,281,11,267,2,1,1,0,0
05079000018,216,13,193,10,0,1,0,0,170,6,154,10,0,1,0,0
05079000002,147,0,48,99,0,0,0,0,112,0,34,78,0,0,0,0
05079000012,635,21,605,9,2,0,0,0,479,13,461,5,2,0,0,0
05079000013,569,13,552,0,2,3,0,0,412,6,402,0,2,3,0,0
05079000020,219,0,6,214,0,0,0,0,174,0,5,169,0,0,0,0
05079000001,3462,115,1459,1874,7,11,2,0,3411,113,1429,1855,7,11,2,0
05079000004,1752,58,1657,31,22,0,0,4,1303,32,1242,26,14,0,0,2
05079000022,196,11,56,132,4,0,0,0,138,7,46,86,2,0,0,0
05079000014,552,9,537,5,0,1,0,0,442,5,432,4,0,1,0,0
05079000019,314,10,82,224,0,0,0,0,233,5,69,160,0,0,0,0
05079000005,190,0,172,18,0,0,0,0,146,0,135,11,0,0,0,0
05079000011,317,37,249,32,1,1,1,0,235,22,194,19,1,1,0,0
